Variable,Max,Min,Mean
t2m,326.3396301,192.2073669,278.8510794
d2m,305.8016968,189.1588898,274.2647937
sp,107078.2344,47399.61719,96650.46322
u10,44.84565735,-196.7885437,-0.06747816
v10,135.2455444,-96.90724182,0.1984011
theta_w,326.1300268,188.4853309,278.3978502
mix_ratio,0.030070102,7.30E-07,0.004292692
rel_humid,1.07,0,0.7
virt_temp,339.7171709,192.2074047,279.5754206
wet_bulb,310.4736159,194.3194986,276.3030465
theta_e,776.8733313,188.4853316,293.6939591
q,0.067453587,3.23E-07,0.004274344
q_850,0.024951244,4.66E-09,0.00462498
t_850,309.2406,205.75833,274.6106082
u_850,89.81117,-165.10022,1.385064762
v_850,90.9507,-64.62073,0.148459298
z_850,17612.004,-6912.213,13762.46737
d_850,299.1379864,169.4728874,273.5636004
mix_ratio_850,0.025591986,9.13E-09,0.004642985
rel_humid_850,1.07,0,0.7
theta_e_850,407.9802844,215.5478429,301.0761881
theta_w_850,306.1497975,215.517183,281.7173136
virt_temp_850,313.9301081,205.7583311,275.3818743
wet_bulb_850,301.8943988,239.7971502,273.8806628
q_900,0.034231212,4.66E-09,0.005586943
t_900,309.2406,205.75833,276.6008764
u_900,89.853115,-165.20557,0.839714324
v_900,91.11507,-64.64681,0.201385933
z_900,13249.213,903.0327,9211.468268
d_900,305.5048857,169.7402218,277.005095
mix_ratio_900,0.035472883,9.14E-09,0.005613506
rel_humid_900,1.07,0,0.7
theta_e_900,435.0010861,212.0528608,300.9420325
theta_w_900,309.2340023,212.036717,281.6604514
virt_temp_900,315.6786697,205.7583311,277.5392117
wet_bulb_900,306.3248776,239.7781861,276.7549162
q_950,0.046489507,4.66E-09,0.00656686
t_950,309.2406,205.75833,278.2460963
u_950,62.46032,-148.51501,0.375778613
v_950,91.073425,-66.1152,0.207254872
z_950,9000.762,-3231.293,4877.725497
d_950,311.905443,169.9938758,280.101408
mix_ratio_950,0.048838679,9.16E-09,0.006604387
rel_humid_950,1.07,0,0.7
theta_e_950,476.3312249,208.7990616,300.6901291
theta_w_950,312.9837282,208.7909828,281.5533518
virt_temp_950,317.9915084,205.7583311,279.3555373
wet_bulb_950,311.8009833,239.7591861,279.4635962
q_1000,0.048163727,4.66E-09,0.007057154
t_1000,309.2406,205.75833,280.1310979
u_1000,62.22315,-165.27695,-0.050884628
v_1000,76.649796,-58.405083,0.197406197
z_1000,17522.139,-6920.75,736.070931
d_1000,313.50509,170.2352179,281.9076821
mix_ratio_1000,0.050698882,9.17E-09,0.007101058
rel_humid_1000,1.07,0,0.7
theta_e_1000,475.4647503,205.7583619,299.5906442
theta_w_1000,312.9144255,205.7545603,281.0808054
virt_temp_1000,318.3087363,205.7583311,281.3314612
wet_bulb_1000,313.393558,239.7401512,281.3283362
