Variable,Max,Min,Mean
d_1000,313.5051,170.2352,281.9077
d_850,299.1380,169.4729,273.5636
d_900,305.5049,169.7402,277.0051
d_950,311.9054,169.9939,280.1014
d2m,305.8017,189.1589,274.2648
mix_ratio,30.0701,0.0007,4.2927
mix_ratio_1000,50.6989,0.0000,7.1011
mix_ratio_850,25.5920,0.0000,4.6430
mix_ratio_900,35.4729,0.0000,5.6135
mix_ratio_950,48.8387,0.0000,6.6044
q,67.4536,0.0000,4.2743
q_1000,48.1637,0.0000,7.0572
q_850,24.9512,0.0000,4.6250
q_900,34.2312,0.0000,5.5869
q_950,46.4895,0.0000,6.5669
rel_humid,1.0700,0.0000,0.7000
rel_humid_1000,1.0700,0.0000,0.7000
rel_humid_850,1.0700,0.0000,0.7000
rel_humid_900,1.0700,0.0000,0.7000
rel_humid_950,1.0700,0.0000,0.7000
sp,1070.7823,473.9962,966.5046
t_1000,309.2406,205.7583,280.1311
t_850,309.2406,205.7583,274.6106
t_900,309.2406,205.7583,276.6009
t_950,309.2406,205.7583,278.2461
t2m,326.3396,192.2074,278.8511
theta_e,776.8733,188.4853,293.6940
theta_e_1000,475.4648,205.7584,299.5906
theta_e_850,407.9803,215.5478,301.0762
theta_e_900,435.0011,212.0529,300.9420
theta_e_950,476.3312,208.7991,300.6901
theta_w,326.1300,188.4853,278.3979
theta_w_1000,312.9144,205.7546,281.0808
theta_w_850,306.1498,215.5172,281.7173
theta_w_900,309.2340,212.0367,281.6605
theta_w_950,312.9837,208.7910,281.5534
u_1000,62.2232,-165.2770,-0.0509
u_850,89.8112,-165.1002,1.3851
u_900,89.8531,-165.2056,0.8397
u_950,62.4603,-148.5150,0.3758
u10,44.8457,-196.7885,-0.0675
v_1000,76.6498,-58.4051,0.1974
v_850,90.9507,-64.6207,0.1485
v_900,91.1151,-64.6468,0.2014
v_950,91.0734,-66.1152,0.2073
v10,135.2455,-96.9072,0.1984
virt_temp,339.7172,192.2074,279.5754
virt_temp_1000,318.3087,205.7583,281.3315
virt_temp_850,313.9301,205.7583,275.3819
virt_temp_900,315.6787,205.7583,277.5392
virt_temp_950,317.9915,205.7583,279.3555
wet_bulb,310.4736,194.3195,276.3030
wet_bulb_1000,313.3936,239.7402,281.3283
wet_bulb_850,301.8944,239.7972,273.8807
wet_bulb_900,306.3249,239.7782,276.7549
wet_bulb_950,311.8010,239.7592,279.4636
z_1000,178.6779,0.0000,7.5059
z_850,179.5943,0.0000,140.3395
z_900,135.1058,0.0000,93.9318
z_950,91.7832,0.0000,49.7395
