Variable,Max,Min,Mean
t2m,329.3396301,192.2073669,278.8510794
d2m,305.8016968,189.1588898,274.2647937
sp,107078.2344,47399.61719,96650.46322
u10,44.84565735,-196.7885437,-0.06747816
v10,135.2455444,-96.90724182,0.1984011
theta_w,327,188,278.3963913
mix_ratio,70,5.00E-04,4.291633
rel_humid,1,0,0.7226335
virt_temp,333,192,279.5752426
wet_bulb,310,193,276.2962174
theta_e,415,188,293.6909023
q_850,0.024951244,4.66E-09,0.00462498
t_850,309.2406,205.75833,274.6106082
u_850,89.81117,-165.10022,1.385064862
v_850,90.9507,-64.62073,0.148459298
z_850,17612.004,-6912.213,13762.46737
q_900,0.034231212,4.66E-09,0.005588694
t_900,309.2406,205.75833,276.6008764
u_900,89.853115,-165.20557,0.839714324
v_900,91.11507,-64.64681,0.201385933
z_900,13249.213,903.0327,9211.468268
q_950,0.046489507,4.66E-09,0.00656686
t_950,309.2406,205.75833,278.2460963
u_950,62.46032,-148.51501,0.375778613
v_950,91.073425,-66.1152,0.207254872
z_950,9000.762,-3231.293,4877.725497
q_1000,0.048163727,4.66E-09,0.007057154
t_1000,309.2406,205.75833,281.1310979
u_1000,62.22315,-165.27695,-0.050884628
v_1000,76.649796,-58.405083,0.197406197
z_1000,17522.139,-6920.75,736.070931
